2026-04-09 13:32:42,ci_lab,6c:31:0e:56:e1:25:-42,6c:31:0e:56:e1:20:-43,40:01:7a:53:96:8e:-43,40:01:7a:53:96:8d:-43,40:01:7a:53:96:8c:-43
2026-04-09 13:32:44,ci_lab,6c:31:0e:56:e1:25:-42,6c:31:0e:56:e1:20:-43,40:01:7a:53:96:8e:-43,40:01:7a:53:96:8d:-43,40:01:7a:53:96:8c:-43
2026-04-09 13:32:48,ci_lab,6c:31:0e:56:e1:25:-42,40:01:7a:53:96:80:-42,f8:0b:cb:f3:88:01:-49,f8:0b:cb:f3:88:00:-50,5c:60:ba:2c:29:05:-54
2026-04-09 13:32:50,ci_lab,6c:31:0e:56:e1:25:-42,40:01:7a:53:96:80:-42,f8:0b:cb:f3:88:01:-49,f8:0b:cb:f3:88:00:-50,5c:60:ba:2c:29:05:-54
2026-04-09 13:32:53,ci_lab,6c:31:0e:56:e1:25:-37,40:01:7a:53:96:8d:-49,f8:0b:cb:f3:88:04:-49,40:01:7a:53:96:8e:-50,2e:98:11:8b:1f:9e:-50
2026-04-09 13:32:55,ci_lab,6c:31:0e:56:e1:25:-37,40:01:7a:53:96:8d:-49,f8:0b:cb:f3:88:04:-49,40:01:7a:53:96:8e:-50,2e:98:11:8b:1f:9e:-50
2026-04-09 13:32:58,ci_lab,6c:31:0e:56:e1:25:-37,40:01:7a:53:96:8d:-49,f8:0b:cb:f3:88:04:-49,40:01:7a:53:96:8e:-50,2e:98:11:8b:1f:9e:-50
2026-04-09 13:33:01,ci_lab,6c:31:0e:56:e1:25:-41,6c:31:0e:56:e1:2d:-50,6c:31:0e:56:e1:2b:-51,6c:31:0e:56:e1:2a:-51,6c:31:0e:56:e1:2c:-51
2026-04-09 13:33:03,ci_lab,6c:31:0e:56:e1:25:-41,6c:31:0e:56:e1:2d:-50,6c:31:0e:56:e1:2b:-51,6c:31:0e:56:e1:2a:-51,6c:31:0e:56:e1:2c:-51
2026-04-09 13:33:25,midas_lab,f8:0b:cb:f3:88:01:-37,40:01:7a:53:97:24:-48,40:01:7a:53:97:23:-48,40:01:7a:53:97:22:-48,40:01:7a:53:97:21:-48
2026-04-09 13:33:38,midas_lab,f8:0b:cb:f3:88:00:-40,40:01:7a:53:96:80:-49,40:01:7a:53:96:8e:-59,40:01:7a:53:96:8d:-59,40:01:7a:53:96:8c:-59
2026-04-09 13:33:47,midas_lab,f8:0b:cb:f3:88:00:-35,f8:0b:cb:f3:88:01:-35,f8:0b:cb:f3:88:0e:-43,f8:0b:cb:f3:88:0a:-44,f8:0b:cb:f3:88:0b:-44
2026-04-09 13:33:55,midas_lab,f8:0b:cb:f3:88:05:-24,f8:0b:cb:f3:88:04:-27,40:01:7a:53:96:85:-44,f8:0b:cb:f3:88:0a:-47,f8:0b:cb:f3:88:0b:-48
2026-04-09 13:34:00,midas_lab,f8:0b:cb:f3:88:00:-25,f8:0b:cb:f3:88:0b:-38,f8:0b:cb:f3:88:0d:-38,f8:0b:cb:f3:88:0e:-38,f8:0b:cb:f3:88:0f:-38
2026-04-09 13:34:03,midas_lab,f8:0b:cb:f3:88:00:-25,f8:0b:cb:f3:88:0b:-38,f8:0b:cb:f3:88:0d:-38,f8:0b:cb:f3:88:0e:-38,f8:0b:cb:f3:88:0f:-38
