4/9/2026 13:06,aid_lab,6c:31:0e:56:e1:22:-30,6c:31:0e:56:e1:21:-30,6c:31:0e:56:e1:24:-30,6c:31:0e:56:e1:23:-30,6c:31:0e:56:e1:25:-30
4/9/2026 13:06,aid_lab,6c:31:0e:56:e1:22:-30,6c:31:0e:56:e1:21:-30,6c:31:0e:56:e1:24:-30,6c:31:0e:56:e1:23:-30,6c:31:0e:56:e1:25:-30
4/9/2026 13:06,aid_lab,6c:31:0e:56:e1:25:-33,6c:31:0e:56:e1:2b:-35,6c:31:0e:56:e1:2a:-35,6c:31:0e:56:e1:2d:-35,6c:31:0e:56:e1:2c:-35
4/9/2026 13:06,aid_lab,6c:31:0e:56:e1:25:-33,6c:31:0e:56:e1:2b:-35,6c:31:0e:56:e1:2a:-35,6c:31:0e:56:e1:2d:-35,6c:31:0e:56:e1:2c:-35
4/9/2026 13:06,aid_lab,6c:31:0e:56:e1:25:-33,6c:31:0e:56:e1:2b:-35,6c:31:0e:56:e1:2a:-35,6c:31:0e:56:e1:2d:-35,6c:31:0e:56:e1:2c:-35
4/9/2026 13:06,aid_lab,6c:31:0e:56:e1:23:-32,6c:31:0e:56:e1:24:-33,6c:31:0e:56:e1:25:-36,6c:31:0e:56:e1:2a:-38,6c:31:0e:56:e1:2d:-38
4/9/2026 13:06,aid_lab,6c:31:0e:56:e1:23:-32,6c:31:0e:56:e1:24:-33,6c:31:0e:56:e1:25:-36,6c:31:0e:56:e1:2a:-38,6c:31:0e:56:e1:2d:-38
4/9/2026 13:07,aid_lab,6c:31:0e:56:e1:25:-39,40:01:7a:53:96:85:-44,f8:0b:cb:f3:88:04:-49,2e:98:11:8b:1f:9e:-50,6c:31:0e:56:e1:2a:-50
4/9/2026 13:07,aid_lab,6c:31:0e:56:e1:25:-39,40:01:7a:53:96:85:-44,f8:0b:cb:f3:88:04:-49,2e:98:11:8b:1f:9e:-50,6c:31:0e:56:e1:2a:-50
4/9/2026 13:07,aid_lab,6c:31:0e:56:e1:20:-39,6c:31:0e:56:e1:25:-45,6c:31:0e:56:e1:2b:-52,6c:31:0e:56:e1:2c:-53,6c:31:0e:56:e1:2a:-54
